Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,15352,15368,0,16,498053,12,0,16,0
1,1,15284,15352,10,68,498078,0,0,0,0
2,1,15172,15284,10,112,498088,0,0,0,0
3,1,15008,15172,10,164,498098,0,0,0,0
4,1,14816,15008,10,192,498108,0,0,0,0
5,1,14592,14816,10,224,498118,0,0,0,0
6,1,14344,14592,10,248,498128,0,0,0,0
7,1,14084,14344,10,260,498138,0,0,0,0
8,1,13808,14084,10,276,498148,0,0,0,0
9,1,13487,13808,11,321,498159,0,0,0,0
10,1,13199,13487,10,288,498169,0,0,0,0
11,1,12895,13199,10,304,498179,0,0,0,0
12,1,12563,12895,10,332,498189,0,0,0,0
13,1,12231,12563,10,332,498199,0,0,0,0
14,1,11899,12231,10,332,498209,0,0,0,0
15,1,11555,11899,10,344,498219,0,0,0,0
16,1,11195,11555,10,360,498229,0,0,0,0
17,1,10863,11195,10,332,498239,0,0,0,0
18,1,10435,10863,10,428,498249,0,0,0,0
19,1,10147,10435,10,288,498259,0,0,0,0
20,1,9787,10147,10,360,498269,0,0,0,0
21,1,9427,9787,10,360,498279,0,0,0,0
22,1,9043,9427,10,384,498289,0,0,0,0
23,1,8655,9043,10,388,498299,0,0,0,0
24,1,8311,8655,10,344,498309,0,0,0,0
25,1,7934,8311,10,377,498319,0,0,0,0
26,1,7494,7934,11,440,498330,0,0,0,0
27,1,7050,7494,11,444,498341,0,0,0,0
28,1,6734,7050,10,316,498351,0,0,0,0
29,1,6346,6734,10,388,498361,0,0,0,0
30,1,5974,6346,10,372,498371,0,0,0,0
31,1,5534,5974,11,440,498382,0,0,0,0
32,1,5146,5534,10,388,498392,0,0,0,0
33,1,4774,5146,11,372,498403,0,0,0,0
34,1,4374,4774,10,400,498413,0,0,0,0
35,1,3930,4374,11,444,498424,0,0,0,0
36,1,3546,3930,11,384,498435,0,0,0,0
37,1,3158,3546,10,388,498445,0,0,0,0
38,1,2689,3158,11,469,498456,0,0,0,0
39,1,2233,2689,11,456,498467,0,0,0,0
40,1,1913,2233,10,320,498477,0,0,0,0
41,1,1557,1913,10,356,498487,0,0,0,0
42,1,1085,1557,11,472,498498,0,0,0,0
43,1,701,1085,11,384,498509,0,0,0,0
44,1,257,701,11,444,498520,0,0,0,0
45,1,-112,257,11,369,498531,0,0,0,0
46,1,-568,-112,11,456,498542,0,0,0,0
47,1,-940,-568,11,372,498553,0,0,0,0
48,1,-1328,-940,10,388,498563,0,0,0,0
49,1,-1700,-1328,10,372,498573,0,0,0,0
50,1,-2144,-1700,10,444,498583,0,0,0,0
51,1,-2432,-2144,10,288,498593,0,0,0,0
52,1,-2888,-2432,11,456,498604,0,0,0,0
53,1,-3260,-2888,10,372,498614,0,0,0,0
54,1,-3608,-3260,10,348,498624,0,0,0,0
55,1,-3992,-3608,11,384,498635,0,0,0,0
56,1,-4436,-3992,12,444,498647,0,0,0,0
57,1,-4864,-4436,11,428,498658,0,0,0,0
58,1,-5220,-4864,10,356,498668,0,0,0,0
59,1,-5608,-5220,10,388,498678,0,0,0,0
60,1,-5952,-5608,11,344,498689,0,0,0,0
61,1,-6312,-5952,10,360,498699,0,0,0,0
62,1,-6672,-6312,10,360,498709,0,0,0,0
63,1,-7032,-6672,10,360,498719,0,0,0,0
64,1,-7388,-7032,10,356,498729,0,0,0,0
65,1,-7748,-7388,10,360,498739,0,0,0,0
66,1,-8176,-7748,11,428,498750,0,0,0,0
67,1,-8536,-8176,11,360,498761,0,0,0,0
68,1,-8976,-8536,11,440,498772,0,0,0,0
